ContentID,ParentContentID,AssociateType,AssociateID,FileName,PageTitle,AdditionalPageTitle,MetaKeywords,MetaDescription,Template,CreatedDate,CreatedByUserID,PublishedDate,LastUpdated,UpdatedByUserID,Protected,Rank,ProductRank,Enabled,Featured,RedirectContentID,Views,MapID,GalleryID,NotificationType,category_content_id,tbl_Product_ProductID,tbl_Product_ManufacturerID,tbl_Product_Code,tbl_Product_MPN,tbl_Product_GTIN,tbl_Product_Price,tbl_Product_PriceWholesale,tbl_Product_SalePrice,tbl_Product_TotalStock,tbl_Product_Weight,tbl_Product_Width,tbl_Product_Height,tbl_Product_Location,tbl_Product_ShippingAdditional,tbl_Product_SpecificShippingTypeID,tbl_Product_Featured,tbl_Product_Derivative1,tbl_Product_Derivative2,tbl_Product_GoogleProductCategory,tbl_Product_GoogleAdwordsLabels,tbl_Product_GoogleAdwordsRedirect,tbl_Product_SpecialNote,tbl_Product_SpecialNoteShort,productType,tbl_derivative_DerivativeID,tbl_derivative_ProductID,tbl_derivative_Title,tbl_derivative_Title2,tbl_derivative_TotalStock,tbl_derivative_ProductImage,tbl_derivative_SwatchImage,tbl_derivative_BackInStock,tbl_derivative_Price,tbl_derivative_PriceWholesale,tbl_derivative_Weight,tbl_derivative_Location,tbl_derivative_Enabled,tbl_derivative_Code,tbl_derivative_DerivRank,tbl_derivative_DerivGTIN,tbl_derivative_DerivMPN
1610,0,Product,1195,/Arthritis-Rheumatism-Bath-Oil/,Arthritis & Rheumatism Bath Oil,| Bath oil A & R,"bath, oil, natural, essential, carrier, blend, rheumatism, arthritis, pain, relief, inflammation, joints",This 100% natural herbal bath oil has been successfully selling for over 10 years now as it is extremely beneficial for individuals suffering from any pain caused by arthritic conditions and/or rheumatism.,product.aspx,8/15/2012,1,8/15/2012,7/5/2019,24,0,1,0,1,0,0,22726,0,0,0,45|16,1195,14,,,,7.99,3.33,0,,220,0,0,,0,0,0,Size,n/a,,,,,,config,2224,1195,100ml Bottle,n/a,0,,,,7.99,3.99,0.38,VS3C,1,AVOIL7/100,1,7.36E+11
1610,0,Product,1195,/Arthritis-Rheumatism-Bath-Oil/,Arthritis & Rheumatism Bath Oil,| Bath oil A & R,"bath, oil, natural, essential, carrier, blend, rheumatism, arthritis, pain, relief, inflammation, joints",This 100% natural herbal bath oil has been successfully selling for over 10 years now as it is extremely beneficial for individuals suffering from any pain caused by arthritic conditions and/or rheumatism.,product.aspx,8/15/2012,1,8/15/2012,7/5/2019,24,0,1,0,1,0,0,22726,0,0,0,45|16,1195,14,,,,7.99,3.33,0,,220,0,0,,0,0,0,Size,n/a,,,,,,config,2225,1195,250ml Bottle,n/a,0,,,,17.99,8.99,0.55,L12C,1,AVOIL7/250,1,7.36E+11
1610,0,Product,1195,/Arthritis-Rheumatism-Bath-Oil/,Arthritis & Rheumatism Bath Oil,| Bath oil A & R,"bath, oil, natural, essential, carrier, blend, rheumatism, arthritis, pain, relief, inflammation, joints",This 100% natural herbal bath oil has been successfully selling for over 10 years now as it is extremely beneficial for individuals suffering from any pain caused by arthritic conditions and/or rheumatism.,product.aspx,8/15/2012,1,8/15/2012,7/5/2019,24,0,1,0,1,0,0,22726,0,0,0,45|16,1195,14,,,,7.99,3.33,0,,220,0,0,,0,0,0,Size,n/a,,,,,,config,2226,1195,500ml Bottle,n/a,0,,,,29.99,14.99,0.75,K,1,AVOIL7/500,1,7.36E+11
1611,0,Product,1196,/arthritis-rheumatism-complete-set/2/,Arthritis & Rheumatism Complete Set,| Gift Set Of Arthritis & Rheumatism Products,"arthritis, natural, remedy, avena, arthritis, muscle, bone, joint, massage, bath, ointment, balm, natural",Rheumatoid arthritis is an autoimmune disease in which the joint lining becomes inflamed as part of the body's immune system activity. Rheumatoid arthritis is one of the most serious and disabling types of arthritis.,product.aspx,8/15/2012,1,8/15/2012,9/29/2020,2,0,1,0,1,0,0,12773,0,0,0,47|16,1196,14,,,,39.99,20.83,0,,840,0,0,,0,0,0,Size,n/a,,,,Free UK delivery for this item and all orders over 25.00 - we also deliver products worldwide.,Free UK Delivery,config,2227,1196,n/a,n/a,0,,,,39.99,20.83,1.1,A3A,1,ARGS3,1,6.16E+11
1612,0,Product,1197,/Arthritis-Rheumatism-Massage-Oil/,Arthritis & Rheumatism Massage Oil,| Massage Oil For Arthritis & Rheumatism,"massage, oil, natural, essential, carrier, blend, rheumatism, arthritis, pain, relief, inflammation, joints",Rheumatoid arthritis is an autoimmune disease in which the joint lining becomes inflamed as part of the body's immune system activity.,product.aspx,8/15/2012,1,8/15/2012,7/5/2019,24,0,1,0,1,0,0,17650,0,0,0,45|16,1197,14,,,,7.99,3.33,0,,220,0,0,,0,0,0,Size,n/a,,,,,,config,2228,1197,100ml Bottle,n/a,0,,,,7.99,3.99,0.38,VS3C,1,AVOIL7/100,1,7.36E+11
1612,0,Product,1197,/Arthritis-Rheumatism-Massage-Oil/,Arthritis & Rheumatism Massage Oil,| Massage Oil For Arthritis & Rheumatism,"massage, oil, natural, essential, carrier, blend, rheumatism, arthritis, pain, relief, inflammation, joints",Rheumatoid arthritis is an autoimmune disease in which the joint lining becomes inflamed as part of the body's immune system activity.,product.aspx,8/15/2012,1,8/15/2012,7/5/2019,24,0,1,0,1,0,0,17650,0,0,0,45|16,1197,14,,,,7.99,3.33,0,,220,0,0,,0,0,0,Size,n/a,,,,,,config,2229,1197,250ml Bottle,n/a,0,,,,17.99,8.99,0.55,L12C,1,AVOIL7/250,1,7.36E+11
1612,0,Product,1197,/Arthritis-Rheumatism-Massage-Oil/,Arthritis & Rheumatism Massage Oil,| Massage Oil For Arthritis & Rheumatism,"massage, oil, natural, essential, carrier, blend, rheumatism, arthritis, pain, relief, inflammation, joints",Rheumatoid arthritis is an autoimmune disease in which the joint lining becomes inflamed as part of the body's immune system activity.,product.aspx,8/15/2012,1,8/15/2012,7/5/2019,24,0,1,0,1,0,0,17650,0,0,0,45|16,1197,14,,,,7.99,3.33,0,,220,0,0,,0,0,0,Size,n/a,,,,,,config,2230,1197,500ml Bottle,n/a,0,,,,29.99,14.99,0.75,K,1,AVOIL7/500,1,7.36E+11
1613,0,Product,1198,/Arthritis-Rheumatism-Ointment/,Arthritis & Rheumatism Ointment,| Ointment Arthritis & Rheumatism,"avena, ointment, remedy, natural, oil, essential, balm, arthritis, rheumatism, ache, pain, joint, bone","Our natural arthritis treatment, is designed to assist with each of these treatment methods and is especially effective when used with the bath oil (above). This healing arthritis ointment is made with oils reputed to help relieve arthritis pain.",product.aspx,8/15/2012,1,8/15/2012,9/29/2020,2,0,1,0,1,0,0,17400,0,0,0,45|16,1198,14,,,,14.99,6.49,0,,260,0,0,,0,0,0,Size,n/a,,,,,,config,2232,1198,60ml Glass Jar,n/a,0,,,,7.99,3.99,0.35,VS3C/L3B,1,AVOINT5/60,1,7.36E+11
1613,0,Product,1198,/Arthritis-Rheumatism-Ointment/,Arthritis & Rheumatism Ointment,| Ointment Arthritis & Rheumatism,"avena, ointment, remedy, natural, oil, essential, balm, arthritis, rheumatism, ache, pain, joint, bone","Our natural arthritis treatment, is designed to assist with each of these treatment methods and is especially effective when used with the bath oil (above). This healing arthritis ointment is made with oils reputed to help relieve arthritis pain.",product.aspx,8/15/2012,1,8/15/2012,9/29/2020,2,0,1,0,1,0,0,17400,0,0,0,45|16,1198,14,,,,14.99,6.49,0,,260,0,0,,0,0,0,Size,n/a,,,,,,config,2231,1198,120ml Glass Jar,n/a,0,,,,14.99,7.49,0.45,VS3C/L3B,1,AVOINT5/120,1,7.36E+11
1613,0,Product,1198,/Arthritis-Rheumatism-Ointment/,Arthritis & Rheumatism Ointment,| Ointment Arthritis & Rheumatism,"avena, ointment, remedy, natural, oil, essential, balm, arthritis, rheumatism, ache, pain, joint, bone","Our natural arthritis treatment, is designed to assist with each of these treatment methods and is especially effective when used with the bath oil (above). This healing arthritis ointment is made with oils reputed to help relieve arthritis pain.",product.aspx,8/15/2012,1,8/15/2012,9/29/2020,2,0,1,0,1,0,0,17400,0,0,0,45|16,1198,14,,,,14.99,6.49,0,,260,0,0,,0,0,0,Size,n/a,,,,,,config,6752,1198,200ml Plastic Jar,,0,,,,19.99,9.99,0.62,L3B,1,AVOINT5/200,1,7.36E+11
